# galaxy_id rad[kpc] vobs[km/s] errv[km/s] mass[M_sun]
UGC05750_rotmod 0.31 3.10 4.50 1.70e+09
UGC05750_rotmod 1.47 15.70 8.50 1.70e+09
UGC05750_rotmod 2.52 28.00 10.00 1.70e+09
UGC05750_rotmod 3.35 36.00 11.00 1.70e+09
UGC05750_rotmod 4.09 43.60 4.50 1.70e+09
UGC05750_rotmod 4.82 49.80 4.50 1.70e+09
UGC05750_rotmod 6.60 61.50 4.50 1.70e+09
UGC05750_rotmod 7.86 68.10 12.20 1.70e+09
UGC05750_rotmod 9.43 73.40 12.20 1.70e+09
UGC05750_rotmod 11.43 77.60 11.00 1.70e+09
UGC05750_rotmod 22.85 78.90 11.00 1.70e+09
NGC1705_rotmod 0.22 50.20 7.50 4.92e+08
NGC1705_rotmod 0.66 62.20 7.51 4.92e+08
NGC1705_rotmod 1.11 72.40 5.35 4.92e+08
NGC1705_rotmod 1.55 73.20 3.31 4.92e+08
NGC1705_rotmod 2.00 72.90 3.21 4.92e+08
NGC1705_rotmod 2.45 72.60 2.73 4.92e+08
NGC1705_rotmod 2.89 71.50 3.41 4.92e+08
NGC1705_rotmod 3.34 71.10 4.38 4.92e+08
NGC1705_rotmod 3.78 71.40 4.60 4.92e+08
NGC1705_rotmod 4.22 71.50 5.68 4.92e+08
NGC1705_rotmod 4.66 71.50 6.20 4.92e+08
NGC1705_rotmod 5.11 71.30 6.43 4.92e+08
NGC1705_rotmod 5.56 71.80 9.68 4.92e+08
NGC1705_rotmod 6.00 71.50 10.50 4.92e+08
UGC02916_rotmod 0.37 183.00 47.60 8.52e+10
UGC02916_rotmod 0.74 196.00 40.70 8.52e+10
UGC02916_rotmod 1.11 205.00 14.10 8.52e+10
UGC02916_rotmod 1.48 211.00 7.89 8.52e+10
UGC02916_rotmod 1.84 214.00 1.48 8.52e+10
UGC02916_rotmod 2.21 214.00 1.50 8.52e+10
UGC02916_rotmod 2.60 213.00 2.64 8.52e+10
UGC02916_rotmod 2.96 211.00 4.50 8.52e+10
UGC02916_rotmod 3.17 210.00 8.68 8.52e+10
UGC02916_rotmod 3.33 209.00 3.00 8.52e+10
UGC02916_rotmod 3.70 207.00 1.60 8.52e+10
UGC02916_rotmod 4.07 206.00 1.73 8.52e+10
UGC02916_rotmod 4.44 205.00 3.45 8.52e+10
UGC02916_rotmod 4.81 205.00 2.77 8.52e+10
UGC02916_rotmod 5.18 206.00 7.48 8.52e+10
UGC02916_rotmod 5.55 207.00 5.02 8.52e+10
UGC02916_rotmod 5.92 208.00 7.70 8.52e+10
UGC02916_rotmod 6.28 210.00 1.95 8.52e+10
UGC02916_rotmod 6.34 210.00 4.78 8.52e+10
UGC02916_rotmod 6.65 212.00 1.96 8.52e+10
UGC02916_rotmod 7.03 214.00 0.76 8.52e+10
UGC02916_rotmod 7.39 215.00 2.22 8.52e+10
UGC02916_rotmod 7.77 216.00 1.76 8.52e+10
UGC02916_rotmod 8.14 217.00 1.53 8.52e+10
UGC02916_rotmod 8.51 218.00 7.70 8.52e+10
UGC02916_rotmod 8.88 218.00 6.86 8.52e+10
UGC02916_rotmod 9.25 218.00 8.37 8.52e+10
UGC02916_rotmod 9.52 218.00 3.93 8.52e+10
UGC02916_rotmod 9.62 218.00 4.05 8.52e+10
UGC02916_rotmod 9.99 217.00 20.20 8.52e+10
UGC02916_rotmod 10.40 217.00 4.20 8.52e+10
UGC02916_rotmod 10.71 216.00 3.16 8.52e+10
UGC02916_rotmod 11.12 215.00 6.72 8.52e+10
UGC02916_rotmod 12.67 212.00 1.82 8.52e+10
UGC02916_rotmod 12.98 211.00 16.60 8.52e+10
UGC02916_rotmod 15.86 209.00 8.38 8.52e+10
UGC02916_rotmod 19.05 215.00 13.20 8.52e+10
UGC02916_rotmod 22.14 215.00 13.90 8.52e+10
UGC02916_rotmod 25.34 210.00 10.60 8.52e+10
UGC02916_rotmod 28.53 196.00 12.80 8.52e+10
UGC02916_rotmod 31.72 185.00 11.50 8.52e+10
UGC02916_rotmod 34.91 182.00 10.80 8.52e+10
UGC02916_rotmod 38.00 181.00 10.30 8.52e+10
NGC5033_rotmod 0.76 206.00 16.00 1.02e+11
NGC5033_rotmod 2.28 214.00 10.00 1.02e+11
NGC5033_rotmod 3.80 222.00 8.00 1.02e+11
NGC5033_rotmod 5.33 224.00 8.00 1.02e+11
NGC5033_rotmod 6.85 225.00 8.00 1.02e+11
NGC5033_rotmod 8.00 222.00 6.00 1.02e+11
NGC5033_rotmod 10.28 220.00 3.00 1.02e+11
NGC5033_rotmod 12.56 218.00 2.00 1.02e+11
NGC5033_rotmod 14.91 219.00 2.00 1.02e+11
NGC5033_rotmod 17.15 217.00 2.00 1.02e+11
NGC5033_rotmod 19.39 218.00 2.00 1.02e+11
NGC5033_rotmod 21.64 220.00 2.00 1.02e+11
NGC5033_rotmod 24.01 222.00 2.00 1.02e+11
NGC5033_rotmod 26.25 218.00 3.00 1.02e+11
NGC5033_rotmod 28.50 217.00 3.00 1.02e+11
NGC5033_rotmod 30.87 207.00 3.00 1.02e+11
NGC5033_rotmod 33.12 199.00 3.00 1.02e+11
NGC5033_rotmod 35.36 191.00 3.00 1.02e+11
NGC5033_rotmod 37.73 193.00 3.00 1.02e+11
NGC5033_rotmod 39.98 192.00 3.00 1.02e+11
NGC5033_rotmod 42.22 194.00 4.00 1.02e+11
NGC5033_rotmod 44.59 196.00 5.00 1.02e+11
UGC07577_rotmod 0.19 3.74 3.17 3.00e+07
UGC07577_rotmod 0.38 5.40 3.17 3.00e+07
UGC07577_rotmod 0.57 7.31 3.17 3.00e+07
UGC07577_rotmod 0.75 8.85 3.17 3.00e+07
UGC07577_rotmod 0.94 10.70 3.17 3.00e+07
UGC07577_rotmod 1.13 12.40 3.17 3.00e+07
UGC07577_rotmod 1.32 14.10 3.17 3.00e+07
UGC07577_rotmod 1.51 15.90 3.17 3.00e+07
UGC07577_rotmod 1.69 17.80 3.17 3.00e+07
NGC4217_rotmod 0.87 47.80 8.20 7.53e+10
NGC4217_rotmod 1.74 98.90 8.20 7.53e+10
NGC4217_rotmod 2.61 146.00 7.70 7.53e+10
NGC4217_rotmod 3.50 164.00 6.40 7.53e+10
NGC4217_rotmod 4.37 174.00 5.95 7.53e+10
NGC4217_rotmod 5.24 175.00 6.00 7.53e+10
NGC4217_rotmod 6.11 184.00 6.40 7.53e+10
NGC4217_rotmod 6.98 185.00 6.40 7.53e+10
NGC4217_rotmod 7.85 188.00 6.65 7.53e+10
NGC4217_rotmod 8.72 190.00 7.35 7.53e+10
NGC4217_rotmod 9.60 191.00 6.40 7.53e+10
NGC4217_rotmod 10.47 191.00 5.55 7.53e+10
NGC4217_rotmod 11.35 189.00 5.95 7.53e+10
NGC4217_rotmod 12.19 186.00 6.85 7.53e+10
NGC4217_rotmod 13.12 183.00 6.40 7.53e+10
NGC4217_rotmod 13.94 179.00 6.85 7.53e+10
NGC4217_rotmod 14.86 177.00 7.25 7.53e+10
NGC4217_rotmod 15.79 177.00 8.55 7.53e+10
NGC4217_rotmod 16.72 178.00 12.00 7.53e+10
IC2574_rotmod 0.85 10.30 0.20 7.81e+08
IC2574_rotmod 1.14 12.90 2.70 7.81e+08
IC2574_rotmod 1.42 16.40 1.80 7.81e+08
IC2574_rotmod 1.71 18.60 2.10 7.81e+08
IC2574_rotmod 1.99 19.80 2.00 7.81e+08
IC2574_rotmod 2.28 26.10 0.60 7.81e+08
IC2574_rotmod 2.55 27.70 2.70 7.81e+08
IC2574_rotmod 2.84 29.70 2.60 7.81e+08
IC2574_rotmod 3.13 33.00 3.40 7.81e+08
IC2574_rotmod 3.41 34.80 1.20 7.81e+08
IC2574_rotmod 3.70 35.00 0.90 7.81e+08
IC2574_rotmod 3.98 39.00 10.20 7.81e+08
IC2574_rotmod 4.26 35.90 5.40 7.81e+08
IC2574_rotmod 4.55 40.00 4.10 7.81e+08
IC2574_rotmod 4.84 38.70 1.40 7.81e+08
IC2574_rotmod 5.12 41.80 0.50 7.81e+08
IC2574_rotmod 5.41 42.90 0.40 7.81e+08
IC2574_rotmod 5.68 44.40 1.70 7.81e+08
IC2574_rotmod 5.97 46.10 1.30 7.81e+08
IC2574_rotmod 6.26 49.00 0.90 7.81e+08
IC2574_rotmod 6.54 51.90 0.60 7.81e+08
IC2574_rotmod 6.83 53.10 2.10 7.81e+08
IC2574_rotmod 7.10 54.00 0.50 7.81e+08
IC2574_rotmod 7.39 55.90 1.10 7.81e+08
IC2574_rotmod 7.68 58.80 3.60 7.81e+08
IC2574_rotmod 7.96 57.30 4.60 7.81e+08
IC2574_rotmod 8.25 54.00 9.00 7.81e+08
IC2574_rotmod 8.52 63.80 12.00 7.81e+08
IC2574_rotmod 8.81 60.50 6.20 7.81e+08
IC2574_rotmod 9.10 61.00 5.70 7.81e+08
IC2574_rotmod 9.38 66.00 1.30 7.81e+08
IC2574_rotmod 9.67 65.20 3.40 7.81e+08
IC2574_rotmod 9.96 67.10 4.70 7.81e+08
IC2574_rotmod 10.23 67.50 9.30 7.81e+08
UGC03205_rotmod 0.28 107.00 30.20 8.81e+10
UGC03205_rotmod 0.55 121.00 15.60 8.81e+10
UGC03205_rotmod 0.83 134.00 8.69 8.81e+10
UGC03205_rotmod 1.39 157.00 12.50 8.81e+10
UGC03205_rotmod 1.65 168.00 11.70 8.81e+10
UGC03205_rotmod 3.04 207.00 8.04 8.81e+10
UGC03205_rotmod 3.32 213.00 6.53 8.81e+10
UGC03205_rotmod 3.59 218.00 11.20 8.81e+10
UGC03205_rotmod 3.87 222.00 6.05 8.81e+10
UGC03205_rotmod 4.15 226.00 5.41 8.81e+10
UGC03205_rotmod 4.43 229.00 5.96 8.81e+10
UGC03205_rotmod 4.70 232.00 7.41 8.81e+10
UGC03205_rotmod 4.97 234.00 6.10 8.81e+10
UGC03205_rotmod 5.25 235.00 3.89 8.81e+10
UGC03205_rotmod 5.52 236.00 9.03 8.81e+10
UGC03205_rotmod 5.80 237.00 10.00 8.81e+10
UGC03205_rotmod 6.08 237.00 7.36 8.81e+10
UGC03205_rotmod 6.36 237.00 10.20 8.81e+10
UGC03205_rotmod 6.63 236.00 10.40 8.81e+10
UGC03205_rotmod 6.91 236.00 5.83 8.81e+10
UGC03205_rotmod 7.19 235.00 5.43 8.81e+10
UGC03205_rotmod 7.27 234.00 8.36 8.81e+10
UGC03205_rotmod 7.46 234.00 7.88 8.81e+10
UGC03205_rotmod 8.02 231.00 8.17 8.81e+10
UGC03205_rotmod 8.29 229.00 5.82 8.81e+10
UGC03205_rotmod 8.56 228.00 7.21 8.81e+10
UGC03205_rotmod 8.84 226.00 18.20 8.81e+10
UGC03205_rotmod 9.12 224.00 9.11 8.81e+10
UGC03205_rotmod 9.69 221.00 5.56 8.81e+10
UGC03205_rotmod 12.11 216.00 3.21 8.81e+10
UGC03205_rotmod 14.58 220.00 1.89 8.81e+10
UGC03205_rotmod 14.68 220.00 7.66 8.81e+10
UGC03205_rotmod 15.20 221.00 9.52 8.81e+10
UGC03205_rotmod 15.50 221.00 13.60 8.81e+10
UGC03205_rotmod 15.71 221.00 8.15 8.81e+10
UGC03205_rotmod 16.02 221.00 4.11 8.81e+10
UGC03205_rotmod 16.32 221.00 5.37 8.81e+10
UGC03205_rotmod 16.53 221.00 5.06 8.81e+10
UGC03205_rotmod 16.84 221.00 11.40 8.81e+10
UGC03205_rotmod 16.94 221.00 2.56 8.81e+10
UGC03205_rotmod 19.40 218.00 1.70 8.81e+10
UGC03205_rotmod 21.77 216.00 1.13 8.81e+10
UGC03205_rotmod 24.23 215.00 1.77 8.81e+10
UGC03205_rotmod 26.69 212.00 2.47 8.81e+10
UGC03205_rotmod 29.06 208.00 1.44 8.81e+10
UGC03205_rotmod 31.52 209.00 2.88 8.81e+10
UGC03205_rotmod 36.34 220.00 4.09 8.81e+10
UGC03205_rotmod 40.04 220.00 6.32 8.81e+10
NGC2903_rotmod 0.32 44.00 8.00 6.81e+10
NGC2903_rotmod 0.64 64.00 8.00 6.81e+10
NGC2903_rotmod 0.96 128.00 8.00 6.81e+10
NGC2903_rotmod 1.28 148.00 8.00 6.81e+10
NGC2903_rotmod 1.60 157.00 8.00 6.81e+10
NGC2903_rotmod 1.92 189.00 8.00 6.81e+10
NGC2903_rotmod 2.24 195.00 6.00 6.81e+10
NGC2903_rotmod 2.56 201.00 6.00 6.81e+10
NGC2903_rotmod 2.88 214.00 4.00 6.81e+10
NGC2903_rotmod 3.20 215.00 4.00 6.81e+10
NGC2903_rotmod 3.52 215.00 4.00 6.81e+10
NGC2903_rotmod 3.84 216.00 3.00 6.81e+10
NGC2903_rotmod 4.80 214.00 2.00 6.81e+10
NGC2903_rotmod 5.76 210.00 2.00 6.81e+10
NGC2903_rotmod 6.72 205.00 2.00 6.81e+10
NGC2903_rotmod 7.68 203.00 1.00 6.81e+10
NGC2903_rotmod 8.64 201.00 1.00 6.81e+10
NGC2903_rotmod 9.60 201.00 1.00 6.81e+10
NGC2903_rotmod 10.56 199.00 1.00 6.81e+10
NGC2903_rotmod 11.52 197.00 1.00 6.81e+10
NGC2903_rotmod 12.48 196.00 2.00 6.81e+10
NGC2903_rotmod 13.44 193.00 3.00 6.81e+10
NGC2903_rotmod 14.40 190.00 3.00 6.81e+10
NGC2903_rotmod 15.36 188.00 5.00 6.81e+10
NGC2903_rotmod 16.32 187.00 5.00 6.81e+10
NGC2903_rotmod 17.28 188.00 3.00 6.81e+10
NGC2903_rotmod 18.24 186.00 3.00 6.81e+10
NGC2903_rotmod 19.20 185.00 3.00 6.81e+10
NGC2903_rotmod 20.16 185.00 3.00 6.81e+10
NGC2903_rotmod 21.12 181.00 3.00 6.81e+10
NGC2903_rotmod 22.08 178.00 3.00 6.81e+10
NGC2903_rotmod 23.04 177.00 3.00 6.81e+10
NGC2903_rotmod 24.00 182.00 4.00 6.81e+10
NGC2903_rotmod 24.96 180.00 8.00 6.81e+10
UGC06787_rotmod 0.12 134.00 41.10 7.13e+10
UGC06787_rotmod 0.24 208.00 35.50 7.13e+10
UGC06787_rotmod 0.35 252.00 27.10 7.13e+10
UGC06787_rotmod 0.47 272.00 11.60 7.13e+10
UGC06787_rotmod 0.59 276.00 12.60 7.13e+10
UGC06787_rotmod 0.71 271.00 16.30 7.13e+10
UGC06787_rotmod 0.83 266.00 11.90 7.13e+10
UGC06787_rotmod 0.94 262.00 12.20 7.13e+10
UGC06787_rotmod 1.06 260.00 12.10 7.13e+10
UGC06787_rotmod 1.18 260.00 11.90 7.13e+10
UGC06787_rotmod 1.30 259.00 8.04 7.13e+10
UGC06787_rotmod 1.42 257.00 10.20 7.13e+10
UGC06787_rotmod 1.53 254.00 9.68 7.13e+10
UGC06787_rotmod 1.66 244.00 4.95 7.13e+10
UGC06787_rotmod 1.89 228.00 9.83 7.13e+10
UGC06787_rotmod 2.01 220.00 18.60 7.13e+10
UGC06787_rotmod 2.13 215.00 4.11 7.13e+10
UGC06787_rotmod 2.24 213.00 16.10 7.13e+10
UGC06787_rotmod 3.10 228.00 9.59 7.13e+10
UGC06787_rotmod 3.79 236.00 7.22 7.13e+10
UGC06787_rotmod 3.90 236.00 7.24 7.13e+10
UGC06787_rotmod 4.14 237.00 8.26 7.13e+10
UGC06787_rotmod 4.25 237.00 4.07 7.13e+10
UGC06787_rotmod 4.37 237.00 4.04 7.13e+10
UGC06787_rotmod 4.49 237.00 1.94 7.13e+10
UGC06787_rotmod 4.61 237.00 1.49 7.13e+10
UGC06787_rotmod 4.72 236.00 2.38 7.13e+10
UGC06787_rotmod 5.16 235.00 2.40 7.13e+10
UGC06787_rotmod 5.43 234.00 4.05 7.13e+10
UGC06787_rotmod 5.56 233.00 3.03 7.13e+10
